Estación:       APATZINGAN,  MICH
Operada por:    SMN EMAS
Longitud:       102°22'18"  Latitud: 19°04'58"  Altitud: 282

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
26/01/2018 17:00       282       286      6.14     12.40      23.8        60     981.8       0.0     455.5
26/01/2018 18:00       261       266      6.31     14.30      26.0        50     980.7       0.0     744.7
26/01/2018 19:00       242       230      3.49      9.90      29.2        42     979.2       0.0     843.3
26/01/2018 20:00       293       283      5.06     13.40      31.2        36     977.6       0.0     792.2
26/01/2018 21:00       269       246      4.75     13.40      32.0        32     976.3       0.0     627.2
26/01/2018 22:00       206       268      3.16     12.10      32.5        31     975.4       0.0     430.2
26/01/2018 23:00        96       130      2.37      7.90      32.0        32     975.2       0.0     197.3
27/01/2018 00:00       161       196      1.74      5.80      28.8        44     975.3       0.0      28.0
27/01/2018 01:00        66        66      3.84      7.80      24.8        58     975.9       0.0       0.0
27/01/2018 02:00        91        66      2.61      9.40      23.5        63     976.4       0.0       0.0
27/01/2018 03:00       119        84      3.48      8.30      22.3        68     976.9       0.0       0.0
27/01/2018 04:00        83       105      3.44      7.50      21.7        71     977.5       0.0       0.0
27/01/2018 05:00        91        19      1.39      7.60      21.0        74     977.6       0.0       0.0
27/01/2018 06:00        84        82      3.72      9.10      20.3        74     977.6       0.0       0.0
27/01/2018 07:00       112       106      3.45      7.20      20.0        75     977.3       0.0       0.0
27/01/2018 08:00        20        16      3.33      5.50      19.3        78     977.1       0.0       0.0
27/01/2018 09:00        74        16      0.91      4.20      18.9        80     976.6       0.0       0.0
27/01/2018 10:00       112       107      3.13      5.30      18.5        81     976.5       0.0       0.0
27/01/2018 11:00       117        50      1.18      4.50      17.7        84     976.6       0.0       0.0
27/01/2018 12:00       101        43      2.21      4.60      17.4        86     977.1       0.0       0.0
27/01/2018 13:00        40        18      0.68      5.60      16.9        88     977.5       0.0       7.0
27/01/2018 14:00       260       223      1.40      5.80      18.4        84     978.3       0.0     131.7
27/01/2018 15:00       281       274      3.71      8.00      22.8        62     979.0       0.0     357.3
